W1, W2, W3, W4, W5, W6
0.05871204,0.44923467,0.20094149,0.00205271,-0.00135789,0.50139187
0.30546868,0.50756787,0.02858063,0.0024943 ,-0.00221705,0.54175957
0.00495874,0.49488517,0.00712971,0.00134898,-0.00204329,0.6606433 
0.51837063,0.43363555,0.22075099,0.00153156,-0.00116692,0.53144191
0.89429673,0.42040134,0.21806049,0.00136007,-0.00100902,0.54113752
0.20041224,0.49761286,-0.05709282,0.0012741,-0.00211241,0.69414172
0.11183208,0.50980621,0.01264336,0.00252738,-0.00224237,0.54932011
8.91056801e-01,3.94955501e-01,1.99996978e-01,1.09115658e-03,-6.71245001e-04,5.71618085e-01
0.807064,0.45588978,0.15241829,0.00229166,-0.00150218,0.49038321
6.51228459e-01,3.87873275e-01,1.79691772e-01,1.46467909e-03,-5.67073530e-04,5.49559311e-01
8.96955081e-01,4.04664221e-01,2.05507383e-01,1.09609451e-03,-8.01415779e-04,5.69551659e-01
